INFO - program start
INFO - get the start page to medicare australia
INFO - Wait until the element with the id appName is found
INFO - Element found
INFO - click on element
INFO - success
INFO - Find the dropdown for "Show" and select "services"
INFO - Find the dropdown for "as" and select "count"
INFO - Find the dropdown for "Report format" and select "by state (00)"
INFO - Finf the dropdown for "Time period" and select "in financial years"
INFO - Find the dropdown for "Start date" and select "July 202"
INFO - Find the dropdown for "End date" and select The last item
INFO - Click 'create report' button
INFO - All options successfully selected and report creation started
INFO - clean up csv
INFO - Start to get the subgroup links
INFO - Find all rows in the table
INFO - Loop through each row
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
INFO - Add the columns to the table_data
INFO - Get all columns in each row
INFO - Get the text from each column
