Group,Subgroup,ITEMS,NSW/ACT,VIC/TAS,QLD,SA/NT,WA,TOTAL
I5 Magnetic resonance imaging,1 scan of head - for specified conditions,63001,"41,180","28,102","21,080","5,628","6,082","102,072"
I5 Magnetic resonance imaging,1 scan of head - for specified conditions,63004,"2,261","1,226",377,639,265,"4,768"
I5 Magnetic resonance imaging,1 scan of head - for specified conditions,63007,"10,938","9,664","5,921","2,145","4,230","32,898"
I5 Magnetic resonance imaging,1 scan of head - for specified conditions,63010,535,581,261,182,75,"1,634"
I5 Magnetic resonance imaging,2 Scan of head - for specified conditions,63040,"5,500","6,432","3,710","1,794","2,354","19,790"
I5 Magnetic resonance imaging,2 Scan of head - for specified conditions,63043,"4,361","3,616","2,440",557,"1,081","12,055"
I5 Magnetic resonance imaging,2 Scan of head - for specified conditions,63046,"6,675","6,002","3,682","2,641","2,368","21,368"
I5 Magnetic resonance imaging,2 Scan of head - for specified conditions,63049,"7,391","9,380","2,929","1,701","2,245","23,646"
I5 Magnetic resonance imaging,2 Scan of head - for specified conditions,63052,972,"1,080",259,131,625,"3,067"
I5 Magnetic resonance imaging,2 Scan of head - for specified conditions,63055,918,691,449,84,293,"2,435"
I5 Magnetic resonance imaging,2 Scan of head - for specified conditions,63058,507,299,242,151,157,"1,356"
I5 Magnetic resonance imaging,2 Scan of head - for specified conditions,63061,"2,297","2,843","1,195",450,989,"7,774"
I5 Magnetic resonance imaging,2 Scan of head - for specified conditions,63064,"8,374","9,225","2,855","1,195","2,236","23,885"
I5 Magnetic resonance imaging,2 Scan of head - for specified conditions,63067,449,174,93,20,57,793
I5 Magnetic resonance imaging,2 Scan of head - for specified conditions,63070,"1,697","2,701",936,267,543,"6,144"
I5 Magnetic resonance imaging,2 Scan of head - for specified conditions,63073,400,583,151,41,73,"1,248"
I5 Magnetic resonance imaging,3 Scan of head and neck vessels - for specified conditions,63101,"2,375",867,"1,102",239,772,"5,355"
I5 Magnetic resonance imaging,4 Scan of head and cervical spine-for specified conditions,63111,513,334,178,68,39,"1,132"
I5 Magnetic resonance imaging,4 Scan of head and cervical spine-for specified conditions,63114,125,51,50,16,6,248
I5 Magnetic resonance imaging,5 Scan of head and cervical spine - for specified conditions,63125,"1,524","1,702",574,98,592,"4,490"
I5 Magnetic resonance imaging,5 Scan of head and cervical spine - for specified conditions,63128,80,54,45,16,10,205
I5 Magnetic resonance imaging,5 Scan of head and cervical spine - for specified conditions,63131,39,10,15,4,2,70
I5 Magnetic resonance imaging,6 Scan of spine-one region or two contiguous regions for infection or tumour,63151,"1,514","1,386",619,614,399,"4,532"
I5 Magnetic resonance imaging,6 Scan of spine-one region or two contiguous regions for infection or tumour,63154,"2,407","2,650","1,563",462,642,"7,724"
I5 Magnetic resonance imaging,7 Scan of spine-one or two contiguous regions-for other conditions,63161,"2,829","4,749","1,030",177,"1,638","10,423"
I5 Magnetic resonance imaging,7 Scan of spine-one or two contiguous regions-for other conditions,63164,323,136,103,20,84,666
I5 Magnetic resonance imaging,7 Scan of spine-one or two contiguous regions-for other conditions,63167,"2,378","1,510","3,630",268,719,"8,505"
I5 Magnetic resonance imaging,7 Scan of spine-one or two contiguous regions-for other conditions,63170,168,279,139,32,74,692
I5 Magnetic resonance imaging,7 Scan of spine-one or two contiguous regions-for other conditions,63173,"9,297","7,202","5,116","1,468","3,042","26,125"
I5 Magnetic resonance imaging,7 Scan of spine-one or two contiguous regions-for other conditions,63176,"18,698","16,835","6,727","4,155","6,883","53,298"
I5 Magnetic resonance imaging,7 Scan of spine-one or two contiguous regions-for other conditions,63179,"4,304","6,480","3,975",819,"3,193","18,771"
I5 Magnetic resonance imaging,7 Scan of spine-one or two contiguous regions-for other conditions,63182,"2,961","2,732","1,616",611,"1,122","9,042"
I5 Magnetic resonance imaging,7 Scan of spine-one or two contiguous regions-for other conditions,63185,"1,245",750,628,381,723,"3,727"
I5 Magnetic resonance imaging,8 Scan/spine-three contiguous/two non contiguous regions/infection or tumour,63201,531,400,275,109,127,"1,442"
I5 Magnetic resonance imaging,8 Scan/spine-three contiguous/two non contiguous regions/infection or tumour,63204,"2,554","2,083","1,664",380,449,"7,130"
I5 Magnetic resonance imaging,9 Scan/spine-three contiguous/two non contiguous regions/other conditions,63219,"3,573","2,696","1,751","1,409",300,"9,729"
I5 Magnetic resonance imaging,9 Scan/spine-three contiguous/two non contiguous regions/other conditions,63222,555,500,205,76,326,"1,662"
I5 Magnetic resonance imaging,9 Scan/spine-three contiguous/two non contiguous regions/other conditions,63225,"2,507",862,"1,464",183,365,"5,381"
I5 Magnetic resonance imaging,9 Scan/spine-three contiguous/two non contiguous regions/other conditions,63228,250,203,141,63,43,700
I5 Magnetic resonance imaging,9 Scan/spine-three contiguous/two non contiguous regions/other conditions,63231,699,300,235,257,48,"1,539"
I5 Magnetic resonance imaging,9 Scan/spine-three contiguous/two non contiguous regions/other conditions,63234,"1,089",683,494,431,171,"2,868"
